;marca;preco
35;Notebook Gamer Acer Nitro 5, AMD Ryzen 7, 8GB RAM, SSD 512GB, 15.6  Full HD, GTX 1650, Windows 11 Home - AN515-45-R1FQ;R$ 4.899,00
36;Notebook Gamer Acer Nitro 5 Intel Core i5-10300H, GeForce GTX 1650, 8GB RAM, SSD 512GB, 15.6' Full HD IPS, Win11 - AN515-55-59T4;R$ 4.999,99
37;Notebook Compaq Presario Intel Core i3, 8GB RAM, 240GB SSD, Tela 14.1 HD, Linux - 439;R$ 2.099,00
38;Notebook LG Gram Intel Core i5-1035G7, 8GB, 256GB SSD M.2 NVMe, 15.6 IPS FHD, Windows 10 Home, Cinza Escuro - 15Z90N-V.BJ51P2;R$ 3.999,99
39;Notebook Dell Inspiron Intel Core I3 1115G4, 8GB RAM, SSD 256GB, Tela 15.6 Full HD, Windows 11 Home, Preto - I15-I1100-A30P;R$ 3.299,00
40;Notebook Lenovo Ultrafino IdeaPad 3 Ryzen 7-5700U, 8GB, SSD 256GB, Windows 11, 15.6, Prata - 82MF0004BR;R$ 3.999,99
41;Notebook HP 256 G8 Intel Core I3, RAM 8GB, SSD 256GB, 15.6 Polegadas HD, Windows 11 Home Sl;R$ 2.799,00
42;Notebook Asus Intel Core I5 1035G1, 8GB RAM, SSD 256GB, 15.6 Full HD, Cinza - X515JA-EJ1792W;R$ 3.299,00
43;"Notebook Lenovo IdeaPad 3 R5-5500U 8GB RAM 256GB SSD 15.6"" FULL HD, Integrada AMD Radeon™ Graphics, Windows 11 Home, Cinza - 82MF000ABR.";R$ 3.079,12
44;Notebook Asus M515DA AMD Ryzen 5 3500U, 8GB RAM, SSD 256GB, 15.6 LED,  Windows 11, Cinza - M515DA-BR1213W;R$ 3.099,00
45;Notebook Acer Aspire 3 AMD Ryzen 3-3250U, 8GB RAM, SSD 256GB, 15.6 HD, Windows 11, Preto - A315-23-R7CG;R$ 2.799,99
46;Notebook HP 256 G8, I5-1135g7, 8GB RAM DDR4, 256GB SSD, Tela 15.6 HD, Intel Iris Xe, Win 11 Home Sl, Preto;R$ 3.329,99
47;Notebook Positivo Motion Q464c, Intel Atom  Quad-core, Windows 10 Home, 14.1'' - Dourado;R$ 1.099,00
48;Notebook Gamer 2am E550 Core I7-9700, 16GB RAM, Nvidia Geforce Gtx 1050 3GB, 128GB SSD, 1TB, Tela 15.6 Polegadas FullHD, Windows 10 Home, Preto;R$ 4.319,00
49;Notebook Acer Aspire 3, Intel Core I3 11ª Gen, 4GB, SSD 256GB, 15.6 Full HD, Windows 11 Home - A315-58-38SD;R$ 2.640,80
50;Notebook Samsung Book Intel Celeron 6305, 4GB RAM, HD 500GB, 15.6 Full HD, Intel UHD Graphics, Linux, Cinza - NP550XDZ-KO4BR;R$ 1.699,99
51;Notebook Gamer Asus Intel Core i5-11300H, 8GB RAM, SSD 512GB, 15.6 Full HD, GTX 1650 Max, Windows 11, Prata - K3500PH-KJ378W;R$ 5.299,99
52;Notebook Acer Aspire 5 A515-54-57cs Intel Core I5 10210u 8gb 256gb Tela 15.6 Polegadas Windows 11;R$ 3.119,40
53;Notebook Acer Aspire 3 A315-58-31uy, Intel Core I3, 8GB, 256GB SSD, Tela 15.6, Windows 11 Home, Prata;R$ 2.999,00
54;Notebook Acer Aspire 3, Intel Core I3 11ª Geração 4.10GHz, 8GB DDR4, SSD 512GB NVMe, Tela 15.6 Full HD, Gráficos Iris Xe, Windows 11 - A315-58-372M;R$ 3.051,00
55;Notebook Lenovo Ideapad 3i, I5-1135g7, 256GB RAM, SSD 8GB, Tela 15.6 Full HD,  Win 11 Home - 82md0007br;R$ 3.099,00
56;Notebook Samsung Galaxy Book2 360, Intel Core I7, RAM 16GB, SSD 512GB, Intel Iris Xe Graphics, 13.3pol FHD, Windows 11 Home, Grafite - Np730qed-ks2br;R$ 9.606,45
57;Notebook Ideapad Gaming 3 R7-5800h, 16GB, 512GBSSD Gtx 1650 4GB 15.6 PolegadasFhd- W11 82mj0000br;R$ 5.279,12
58;Notebook Lenovo Ideapad 3i I7-1165g7 16GB, 512GB SSD, 15.6 Polegadas Full HD, Placa De Vídeo Intel Iris® Xe, Windows 11;R$ 4.223,12
59;Notebook LG Gram Intel Core i7-1165G7, 16GB RAM, 256GB SSD M.2 NVMe, 16' IPS, Intel Iris Xe, Windows 10 Home, Preto - 16Z90P-G.BH71P2;R$ 5.999,99
60;Notebook Acer Aspire 3 Intel Celeron N4020 Dual Core, 4GB RAM, SSD 128GB, 15.6 HD, Windows 11, Microsoft Office, Preto - A315-34-C2BV;R$ 1.999,99
61;Notebook Lenovo IdeaPad 3i Intel Celeron N4020 Dual Core, 4GB, HD 500GB, Linux, 15.6, Prata - 82BUS00000;R$ 1.839,99
62;Notebook Gamer Acer Nitro 5 Intel Core I5, 8GB, GTX 1650, SSD 512GB, Tela 15.6 FHD, Windows 11 - An515-57-52lc;R$ 4.899,00
63;Notebook Acer Aspire 3, Intel Celeron N4500, 4GB RAM, SSD 256GB, Tela 14 Polegadas Full HD, Windows 10, Prata - A314-35-C4CZ;R$ 1.993,10
64;Notebook Lenovo Ultrafino IdeaPad 3i Intel Core i5-10210U, NVIDIA GeForce MX330, 8GB, SSD 256GB, Windows 11, 15.6, Prata - 82BS000KBR;R$ 3.783,99
65;"Chromebook Samsung Intel Celeron N4500 Dual-Core, 8GB RAM, SSD 64GB e.MMC, 14"" HD Antirreflexo, Intel UHD, Google Chrome - XE340XDA-KS1BR";R$ 2.495,99
66;Notebook Gamer Lenovo Gaming 3i Intel Core i7-10750H, 8GB RAM, SSD 512GB, GeForce GTX 1650, 15.6 Full HD, Linux, Chameleon Blue - 82CGS00200;R$ 5.599,99
67;Notebook Samsung Intel Core i5-1135G7, 8GB RAM, SSD 256GB, 15.6 Full HD, Windows 11 Home, Cinza - NP550XDA-KH2BR;R$ 3.349,99
68;Notebook Samsung Book, Intel Core i5-1135G7, 8GB RAM, SSD 256GB, 15.6 Full HD, GeForce MX450, Windows 11, Branco Puro - NP550XDA-XH1BR;R$ 3.999,99
69;Notebook Acer Intel Core i5, 8GB, 512GB SSD, Tela 15.6 Full HD, Intel Iris Xe, Windows 11, Aspire 3, Prata;R$ 3.749,00
70;Notebook Gamer Acer Nitro 5, Intel Core i5, 8GB RAM, NVIDIA GTX 1650 4GB, 512GB SSD, 15.6 Full HD, Linux;R$ 4.699,00
71;Notebook Lenovo IdeaPad 3i Intel Core i7 12GB;R$ 3.999,00
72;Notebook Gamer Acer Nitro 5 Intel Core i5 11400H, 8GB RAM DDR4, 512 GB, Tela 15.6 Full HD, NVIDIA GeForce GTX 3050 com 4GB, Win 11 Home, Preto;R$ 5.699,00
73;Notebook Vaio FE15 Intel Core i5-10210U, 8GB RAM, SSD 256GB, 15.6 Full HD, Windows 11, Cinza Grafite - VJFE54F11X-B0111H;R$ 3.299,99
74;Notebook Lenovo Ultrafino Ideapad 3 R7-5700u 8GB, 512GB SSD, Full hd 15.6 Polegadas, Integradaamd Radeon™ Graphics, Windows 11, Cinza - 82mf0008br;R$ 3.607,12
75;Notebook Lenovo IdeaPad 3i, Intel Celeron N4020 Dual Core, 4GB, SSD 128GB, Windows 11, 15.6, Prata - 82BU0006BR;R$ 1.899,00
76;"Notebook Asus Intel Celeron 15.6"", 128GB SSD, 4GB Mem, Windows 11 Pro";R$ 2.222,60
77;Notebook Lenovo Ideapad 3I, I5-1135G7, 8GB RAM, SSD 256GB, Tela 15.6 Full HD, Intel Iris XE, Linux - 82MDS00500;R$ 2.991,12
78;Notebook Dell I15-i1100 Intel I5 1135g7, 8GB RAM, SSD 256GB, 15.6 Full HD, Windows 11, Preto;R$ 4.853,49
79;Notebook Lenovo Ideapad, Gaming 3 R7-5800h, 16GB, 512GB, SSD Pcie Rtx 3060, 6GB, 15.6'' FHD, Linux - 82mjs00100;R$ 6.335,12
80;"Notebook Lenovo Ideapad 3i Celeron, 15.6"", 4GB, 128GB SSD, Windows 11, Prata -  82bu0008br";R$ 1.829,23
81;"Notebook Lenovo Ideapad 3i 15ITL, I3 1115G4, 4GB, 256GB, 15.6"", Windows 11 - 82md000abr";R$ 2.549,00
82;Notebook Gamer Acer Nitro 5 An515-44-r4ka Amd Ryzen 7 Windows 11 Home 8gb 512gb Ssd Gtx 1650 15.6´;R$ 5.604,05
83;Notebook Gamer Lenovo Ideapad Gaming 3I, I5-11300H, 8GB RAM, GTX 1650 4GB, SSD 512GB, Tela 15 Full HD, Windows 11 - 3I 82MG0009BR;R$ 4.499,10
84;Notebook Samsung Book, Intel Core i7-1165G7,RAM 8GB, 256GB SSD, 15.6 Full HD, Intel Iris Xe, Windows 11 Home, Cinza - NP550XDA-KU1BR;R$ 5.699,99
85;Notebook Acer, Aspire 5, A514-54-397j, Intel Core I3,  11 Gen, Windows 11, Home 8GB, 256GB, SDD 14 Polegadas Full HD;R$ 2.849,05
86;"Notebook Gamer Acer Nitro 5 Intel Core I5 8GB Gtx 1650, 512gb Ssd 17.3"" W11 Home Preto - An517-54-55t5";R$ 5.034,05
87;Notebook Vaio Fe15 FHD I5-10210u, 8GB RAM, SSD 512GB, 15.6 LED Full HD, Win 11 Home, Chumbo Escuro - Vjfe52f11x-b2291h;R$ 3.399,10
88;Notebook LG Gram Intel Core i5-1035G7, 8GB, 256GB SSD, 17 IPS Full HD, Windows 10 Home, Titanio - 17Z90N-VBJ51P2;R$ 5.299,99
89;Notebook Gamer Lenovo Legion 5 AMD Ryzen 7-5800H, 16GB RAM, SSD 512GB, GeForce RTX 3050, 15.6 Full HD, Windows 11,  Phantom Blue - 82QJ0000BR;R$ 7.999,99
90;"Notebook Lenovo Ultrafino Ideapad 3 R5-5500u, 8GB, 256GB SSD, Linux 15.6"", Cinza - 82mfs00100";R$ 2.718,90
91;Notebook Gamer Acer Nitro,  I7-11800H, 8GB RAM, Geforce GTX1650, SSD 512GB, Windows 11 - An515-57-740k;R$ 7.454,44
92;Notebook Lenovo V14, i5-1135G7 8GB 256GB SSD, 14 Polegadas FHD (1366x768) antirreflexo, Linux, Preto - 82NMS00100;R$ 2.903,12
93;Notebook Compaq Presario 434, Intel Core I3, Windows 10 Home, 4GB, 1TB, 14'' - Cinza;R$ 1.889,00
94;Notebook Acer Aspire 5 Intel Core i3-10110U, 4GB RAM, SSD 256GB NVMe, 15.6 Full HD Ultrafino, Windows 10 Home, Prata - A515-54-34LD;R$ 3.047,99
95;Notebook Lenovo V15 G1 IML Intel Core i3-10110U, 4GB RAM, HDD 500GB, 15.6' Antireflexo, Intel UHD Graphics, FreeDos, Cinza Ferro - 82NQ0007BR;R$ 2.417,99
96;Notebook Acer Aspire 5 Intel Core i5-10210U, 4GB RAM, SSD 256GB NVMe, 15.6 Full HD, UHD Graphics, Endless, Prata - A515-54-5526;R$ 3.499,99
